Date,Time,CPU Core 1 (C),CPU Core 2 (C),CPU Core 3 (C),CPU Core 4 (C),CPU PECI (C),CPU Proximity (C),CPU System Agent Core (C),Intel Iris Pro GPU (C),Battery (C),Battery Management Unit (C),Battery Proximity (C),Air Flow Proximity (C),AirPort Proximity (C),Left Heatsink Proximity (C),Platform Controller Hub Die (C),Right Heatsink Proximity (C),Memory Module Proximity (C),Memory Slot (C),Palmrest Proximity (C),Palmrest Proximity (C),SSD A (C),SSD B (C),CPU Average (C),Computer Average (C)
2020-08-02,20:42:34,43,42,41,42,43,38,34,42,29,29,28,33,34,34,41,35,40,38,28,27,34,33,40,36
2020-08-02,20:42:36,42,42,40,39,43,38,36,42,29,29,28,33,34,35,41,35,40,38,27,27,34,33,40,36
2020-08-02,20:42:38,42,40,36,40,43,38,35,42,29,29,28,32,34,34,41,35,40,38,27,27,33,33,39,35
2020-08-02,20:42:40,42,43,37,40,43,38,35,43,29,29,28,33,34,34,41,35,40,38,27,27,33,33,40,36
2020-08-02,20:42:42,43,40,37,42,43,38,34,41,29,29,28,32,34,34,41,35,40,38,27,27,33,33,40,35
2020-08-02,20:42:44,44,41,37,42,43,38,34,43,29,29,28,32,34,35,41,35,40,38,27,27,33,32,40,36
2020-08-02,20:42:46,44,39,36,39,43,38,35,43,29,29,28,32,34,34,41,35,40,38,27,27,33,32,39,35
2020-08-02,20:42:48,40,42,36,39,42,38,33,42,29,29,28,32,34,35,40,35,40,38,27,27,33,32,39,35
2020-08-02,20:42:50,40,39,40,42,42,38,34,41,29,29,28,33,34,35,40,35,40,38,27,27,33,32,39,35
2020-08-02,20:42:52,39,41,35,44,42,37,33,43,29,29,28,33,34,35,40,35,40,38,27,27,33,32,39,35
2020-08-02,20:42:54,40,39,35,40,42,37,32,40,29,29,28,32,34,35,40,35,40,38,27,27,32,32,38,35
2020-08-02,20:42:56,43,40,37,40,42,37,32,40,29,29,28,33,34,35,40,35,40,38,27,27,32,32,39,35
2020-08-02,20:42:58,42,39,36,41,42,37,33,41,28,28,28,33,34,35,40,35,40,38,27,27,32,32,39,35
2020-08-02,20:43:00,41,41,35,39,41,36,32,41,28,28,28,33,34,35,40,35,39,38,27,27,32,32,38,35
2020-08-02,20:43:02,42,42,37,39,41,37,34,40,28,28,28,32,34,35,40,35,40,38,27,27,32,32,39,35
2020-08-02,20:43:04,40,37,38,43,41,37,33,40,28,28,28,32,34,35,40,35,39,38,27,27,32,32,38,35
2020-08-02,20:43:06,40,39,36,42,41,37,34,42,28,28,28,33,34,35,40,34,39,38,27,27,32,32,38,35
2020-08-02,20:43:08,40,39,35,39,41,37,32,40,28,28,28,33,34,35,40,35,39,38,27,27,32,32,38,35
2020-08-02,20:43:10,39,39,34,38,41,36,32,41,28,28,28,33,34,35,40,34,39,38,27,27,32,32,37,34
